x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-45.000000,-40.000000,-0.872500,0.105186,-0.977686,-0.767315,149.870247,50.102375,99.767872,199.972622,0.206438,0.068884,0.137555,0.275322,-0.007234,0.001244,-0.008478,-0.005990
-45.000000,-37.500000,-1.074773,0.104924,-1.179697,-0.969849,149.806566,50.093180,99.713386,199.899746,0.259294,0.084721,0.174573,0.344014,-0.007257,0.001969,-0.009226,-0.005288
-45.000000,-35.000000,-1.325139,0.108366,-1.433505,-1.216772,149.726820,50.082249,99.644571,199.809069,0.312749,0.099541,0.213208,0.412290,-0.007221,0.002831,-0.010052,-0.004391
-45.000000,-32.500000,-1.625333,0.113741,-1.739074,-1.511592,149.628237,50.068616,99.559621,199.696853,0.364186,0.112628,0.251558,0.476814,-0.006973,0.003928,-0.010901,-0.003045
-45.000000,-30.000000,-1.978320,0.126536,-2.104856,-1.851784,149.511349,50.053730,99.457619,199.565078,0.414403,0.124054,0.290348,0.538457,-0.006540,0.005166,-0.011706,-0.001374
-45.000000,-27.500000,-2.364281,0.142163,-2.506444,-2.222119,149.379394,50.036564,99.342830,199.415958,0.458050,0.132983,0.325067,0.591034,-0.005856,0.006587,-0.012443,0.000731
-45.000000,-25.000000,-2.791041,0.163362,-2.954402,-2.627679,149.229906,50.017630,99.212276,199.247536,0.493240,0.138657,0.354583,0.631897,-0.004851,0.008174,-0.013025,0.003323
-45.000000,-22.500000,-3.256694,0.193318,-3.450012,-3.063376,149.065088,49.998118,99.066970,199.063206,0.519743,0.141436,0.378307,0.661180,-0.003559,0.009852,-0.013410,0.006293
-45.000000,-20.000000,-3.733025,0.227121,-3.960146,-3.505904,148.891753,49.977527,98.914226,198.869281,0.530561,0.140101,0.390461,0.670662,-0.001968,0.011638,-0.013606,0.009670
-45.000000,-17.500000,-4.213795,0.264886,-4.478681,-3.948909,148.713685,49.956835,98.756850,198.670520,0.525970,0.134941,0.391029,0.660911,-0.000150,0.013454,-0.013603,0.013304
-45.000000,-15.000000,-4.688903,0.306371,-4.995274,-4.382532,148.535176,49.936937,98.598240,198.472113,0.501845,0.125391,0.376454,0.627235,0.001852,0.015225,-0.013373,0.017078
-45.000000,-12.500000,-5.124031,0.345320,-5.469350,-4.778711,148.368101,49.918029,98.450072,198.286131,0.459385,0.111955,0.347430,0.571339,0.003864,0.016911,-0.013048,0.020775
-45.000000,-10.000000,-5.524239,0.384790,-5.909029,-5.139449,148.213653,49.901431,98.312222,198.115083,0.396878,0.094760,0.302118,0.491638,0.005829,0.018416,-0.012587,0.024246
-45.000000,-7.500000,-5.856255,0.419291,-6.275546,-5.436964,148.084200,49.887716,98.196483,197.971916,0.315245,0.074135,0.241110,0.389380,0.007555,0.019671,-0.012116,0.027226
-45.000000,-5.000000,-6.104310,0.445500,-6.549809,-5.658810,147.986550,49.877324,98.109226,197.863874,0.218709,0.050942,0.167766,0.269651,0.008906,0.020611,-0.011705,0.029518
-45.000000,-2.500000,-6.257309,0.461330,-6.718639,-5.795979,147.925784,49.870694,98.055089,197.796478,0.111804,0.026002,0.085801,0.137806,0.009738,0.021228,-0.011489,0.030966
-45.000000,0.000000,-6.308728,0.465637,-6.774365,-5.843091,147.904953,49.868191,98.036762,197.773144,-0.000402,0.000327,-0.000729,-0.000075,0.010054,0.021419,-0.011366,0.031473
-45.000000,2.500000,-6.254848,0.459807,-6.714655,-5.795040,147.926380,49.870385,98.055996,197.796765,-0.112903,0.026014,-0.138917,-0.086890,0.009720,0.021251,-0.011531,0.030970
-45.000000,5.000000,-6.100424,0.443678,-6.544102,-5.656747,147.987692,49.876859,98.110833,197.864550,-0.219892,0.050973,-0.270865,-0.168919,0.008906,0.020613,-0.011707,0.029519
-45.000000,7.500000,-5.852564,0.417579,-6.270143,-5.434986,148.085344,49.887225,98.198120,197.972569,-0.315856,0.074178,-0.390034,-0.241678,0.007567,0.019659,-0.012092,0.027227
-45.000000,10.000000,-5.523759,0.383932,-5.907691,-5.139826,148.213909,49.901031,98.312877,198.114940,-0.396760,0.094735,-0.491495,-0.302025,0.005850,0.018404,-0.012554,0.024255
-45.000000,12.500000,-5.128539,0.345761,-5.474300,-4.782779,148.366996,49.917788,98.449208,198.284784,-0.458879,0.111921,-0.570801,-0.346958,0.003902,0.016891,-0.012989,0.020793
-45.000000,15.000000,-4.681593,0.304116,-4.985709,-4.377477,148.537285,49.936434,98.600851,198.473720,-0.501962,0.125367,-0.627329,-0.376595,0.001854,0.015218,-0.013364,0.017072
-45.000000,17.500000,-4.215465,0.264871,-4.480336,-3.950593,148.713407,49.956633,98.756774,198.670040,-0.526055,0.134963,-0.661018,-0.391092,-0.000127,0.013437,-0.013564,0.013310
-45.000000,20.000000,-3.732352,0.226655,-3.959008,-3.505697,148.892052,49.977302,98.914750,198.869354,-0.530548,0.140084,-0.670632,-0.390464,-0.001952,0.011626,-0.013578,0.009674
-45.000000,22.500000,-3.256154,0.193027,-3.449180,-3.063127,149.065331,49.997946,99.067385,199.063277,-0.519729,0.141411,-0.661140,-0.378318,-0.003545,0.009842,-0.013387,0.006296
-45.000000,25.000000,-2.790621,0.163142,-2.953763,-2.627478,149.230096,50.017497,99.212599,199.247593,-0.493228,0.138626,-0.631854,-0.354602,-0.004840,0.008167,-0.013007,0.003326
-45.000000,27.500000,-2.365095,0.142259,-2.507354,-2.222837,149.379324,50.036527,99.342797,199.415851,-0.458254,0.132985,-0.591239,-0.325268,-0.005847,0.006580,-0.012427,0.000732
-45.000000,30.000000,-1.973794,0.125099,-2.098893,-1.848696,149.512170,50.053357,99.458812,199.565527,-0.413489,0.123883,-0.537372,-0.289606,-0.006526,0.005176,-0.011703,-0.001350
-45.000000,32.500000,-1.628896,0.114890,-1.743785,-1.514006,149.627762,50.068860,99.558902,199.696622,-0.365048,0.112706,-0.477754,-0.252342,-0.006974,0.003913,-0.010887,-0.003061
-45.000000,35.000000,-1.325004,0.108228,-1.433232,-1.216775,149.726836,50.082180,99.644656,199.809016,-0.312762,0.099528,-0.412289,-0.213234,-0.007207,0.002840,-0.010047,-0.004367
-45.000000,37.500000,-1.076817,0.105788,-1.182605,-0.971029,149.806416,50.093391,99.713024,199.899807,-0.259955,0.084719,-0.344674,-0.175236,-0.007275,0.001945,-0.009220,-0.005330
-45.000000,40.000000,-0.872472,0.105102,-0.977575,-0.767370,149.870251,50.102341,99.767910,199.972593,-0.206408,0.068827,-0.275235,-0.137580,-0.007237,0.001237,-0.008474,-0.005999
-45.000000,42.500000,-0.712958,0.105162,-0.818120,-0.607796,149.918874,50.109074,99.809800,200.027948,-0.153049,0.052197,-0.205246,-0.100852,-0.007141,0.000705,-0.007846,-0.006436
-45.000000,45.000000,-0.600830,0.106257,-0.707087,-0.494573,149.952946,50.114021,99.838925,200.066966,-0.101198,0.035103,-0.136301,-0.066096,-0.007042,0.000314,-0.007356,-0.006728
-45.000000,47.500000,-0.533653,0.108025,-0.641678,-0.425628,149.973356,50.117188,99.856168,200.090544,-0.050557,0.017581,-0.068137,-0.032976,-0.006980,0.000078,-0.007058,-0.006903
-45.000000,50.000000,-0.510305,0.107938,-0.618243,-0.402368,149.980322,50.118117,99.862204,200.098439,0.000000,0.000000,0.000000,0.000000,-0.006962,0.000007,-0.006970,-0.006955
-42.500000,-50.000000,-0.568495,0.024028,-0.592523,-0.544468,149.949844,50.091442,99.858402,200.041287,0.000000,0.000000,0.000000,0.000000,-0.006269,0.000759,-0.007028,-0.005510
-42.500000,-47.500000,-0.590667,0.023414,-0.614081,-0.567253,149.942828,50.090245,99.852582,200.033073,0.048107,0.017957,0.030150,0.066064,-0.006289,0.000850,-0.007139,-0.005439
-42.500000,-45.000000,-0.653848,0.019918,-0.673766,-0.633930,149.922463,50.086454,99.836009,200.008916,0.095987,0.035675,0.060312,0.131662,-0.006314,0.001130,-0.007444,-0.005184
-42.500000,-42.500000,-0.760805,0.016449,-0.777254,-0.744355,149.888417,50.080692,99.807726,199.969109,0.145275,0.052950,0.092325,0.198225,-0.006374,0.001553,-0.007927,-0.004821
-42.500000,-40.000000,-0.905951,0.010582,-0.916533,-0.895368,149.840464,50.071984,99.768480,199.912448,0.193351,0.069499,0.123852,0.262850,-0.006372,0.002188,-0.008559,-0.004184
-42.500000,-37.500000,-1.099103,0.006830,-1.105933,-1.092273,149.777350,50.061625,99.715725,199.838976,0.243367,0.085236,0.158130,0.328603,-0.006322,0.002989,-0.009311,-0.003333
-42.500000,-35.000000,-1.328557,0.002744,-1.331301,-1.325813,149.699682,50.048443,99.651239,199.748124,0.290893,0.099553,0.191340,0.390446,-0.006161,0.003989,-0.010150,-0.002172
-42.500000,-32.500000,-1.608343,0.001317,-1.609660,-1.607026,149.603729,50.032954,99.570775,199.636682,0.337165,0.111998,0.225167,0.449162,-0.005841,0.005178,-0.011020,-0.000663
-42.500000,-30.000000,-1.920785,0.001765,-1.922550,-1.919019,149.493197,50.014977,99.478220,199.508174,0.378619,0.122162,0.256457,0.500780,-0.005305,0.006579,-0.011884,0.001274
-42.500000,-27.500000,-2.276942,0.008757,-2.285699,-2.268185,149.366612,49.995904,99.370707,199.362516,0.416704,0.130213,0.286491,0.546918,-0.004570,0.008106,-0.012676,0.003537
-42.500000,-25.000000,-2.666383,0.019744,-2.686127,-2.646639,149.224538,49.974887,99.249651,199.199424,0.445975,0.134867,0.311108,0.580842,-0.003535,0.009803,-0.013338,0.006268
-42.500000,-22.500000,-3.069882,0.033614,-3.103495,-3.036268,149.073134,49.952392,99.120742,199.025527,0.464813,0.136198,0.328615,0.601010,-0.002237,0.011640,-0.013877,0.009403
-42.500000,-20.000000,-3.488161,0.053193,-3.541354,-3.434967,148.913262,49.929414,98.983848,198.842677,0.471077,0.133853,0.337223,0.604930,-0.000681,0.013554,-0.014235,0.012872
-42.500000,-17.500000,-3.922281,0.079600,-4.001881,-3.842681,148.746719,49.907091,98.839628,198.653811,0.464335,0.128103,0.336233,0.592438,0.001067,0.015449,-0.014382,0.016515
